Source,Destination,Distance_km,Tolls,Traffic_Level,Road_Quality,Hotel_Cost,Aesthetics,Fuel_Price,Toll_Cost,Weather_Impact,Peak_Hour_Factor,Seasonal_Factor
Ranchi,Dhanbad,124.9,2,3,5,1500,5,102,198,0.16,1.35,0.93
Ranchi,Asansol,171.7,1,3,4,2500,2,102,247,0.13,1.3,0.95
Dhanbad,Asansol,54.9,5,4,4,2500,3,100,237,0.34,1.28,0.93
Itanagar,Imphal,253.4,1,4,4,2000,2,104,121,0.24,1.1,0.95
Itanagar,Shillong,238.8,1,3,4,1000,5,104,196,0.38,1.13,0.85
Aizawl,Imphal,172.9,4,4,3,2000,3,104,199,0.4,1.3,0.89
Aizawl,Shillong,221.4,4,2,4,1500,2,104,166,0.22,1.35,0.99
Aizawl,Agartala,146.3,3,4,3,2000,3,100,280,0.11,1.25,0.99
Imphal,Shillong,222.6,1,4,3,2000,3,98,193,0.13,1.12,0.88
Imphal,Agartala,290.3,5,2,3,2000,4,104,207,0.41,1.22,0.86
Shillong,Agartala,203.0,4,2,3,1500,2,104,204,0.36,1.21,0.91
Gwalior,Aligarh,186.3,4,2,5,1500,4,98,168,0.46,1.12,0.98
Gwalior,Meerut,310.1,5,2,5,1500,3,100,181,0.26,1.16,0.88
Udaipur,Jodhpur,195.8,1,3,3,2000,3,98,156,0.21,1.32,0.99
Udaipur,Ajmer,226.6,3,3,5,1000,4,98,239,0.26,1.15,0.97
Jodhpur,Ajmer,163.0,4,2,3,2500,5,98,195,0.49,1.17,0.9
Aligarh,Meerut,126.1,1,3,3,2500,2,98,194,0.43,1.29,0.93
